month,building_price_id,building_id,room_count,min_area,max_area,price_per_meter,max_price_per_meter,currency,is_sold
2024-04-24,13950,1905,3,78.3,79,19000,19000,uah,no
2024-04-24,13949,1905,2,0,0,0,0,uah,yes
2024-04-24,13948,1905,1,0,0,0,0,uah,yes
2024-04-24,13947,3298,2,0,0,0,0,interbank,yes
2024-04-24,13946,3298,1,0,0,0,0,interbank,yes
2024-04-24,13945,1107,2,74,87,32000,36000,uah,no
2024-04-24,13944,1107,1,47,49,39000,39000,uah,no
2024-04-24,13931,2862,3,0,0,0,0,interbank,yes
2024-04-24,13930,2862,2,0,0,0,0,interbank,yes
2024-04-24,13929,2862,1,0,0,0,0,interbank,yes
2024-04-24,13921,4208,2,0,0,0,0,uah,yes
2024-04-24,13920,4208,1,0,0,0,0,uah,yes
2024-04-24,13916,1118,3,0,0,0,0,uah,yes
2024-04-24,13915,1118,1,0,0,0,0,uah,yes
2024-04-24,13904,3403,3,0,0,0,0,interbank,yes
2024-04-24,13903,3403,2,0,0,0,0,interbank,yes
2024-04-24,13902,3403,1,0,0,0,0,interbank,yes
2024-04-24,13863,2680,2,0,0,0,0,interbank,yes
2024-04-24,13862,2680,1,0,0,0,0,interbank,yes
2024-04-24,13859,186,1,55.3,55.3,27000,27000,uah,no
2024-04-24,13853,2759,2,0,0,0,0,uah,yes
2024-04-24,13852,2759,1,0,0,0,0,uah,yes
2024-04-24,13829,3492,2,0,0,0,0,uah,yes
2024-04-24,13828,3492,1,0,0,0,0,uah,yes
2024-04-24,13826,3492,2,0,0,0,0,uah,yes
2024-04-24,13825,3492,1,0,0,0,0,uah,yes
2024-04-24,13822,36,1,0,0,0,0,interbank,yes
2024-04-24,13812,4143,3,0,0,0,0,uah,yes
2024-04-24,13811,4143,2,88.5,88.5,36700,40500,uah,no
2024-04-24,13810,4143,1,0,0,0,0,uah,yes
2024-04-24,13806,3550,3,0,0,0,0,interbank,yes
2024-04-24,13805,3550,2,0,0,0,0,interbank,yes
2024-04-24,13804,3550,1,0,0,0,0,interbank,yes
2024-04-24,13788,3992,2,0,0,0,0,uah,yes
2024-04-24,13773,3201,3,0,0,0,0,uah,yes
2024-04-24,13772,3201,2,0,0,0,0,uah,yes
2024-04-24,13771,3201,1,0,0,0,0,uah,yes
2024-04-24,13766,45,3,0,0,0,0,interbank,yes
2024-04-24,13765,45,2,0,0,0,0,interbank,yes
2024-04-24,13764,45,1,0,0,0,0,interbank,yes
2024-04-24,13750,4180,3,129,163,395,395,interbank,no
2024-04-24,13749,4180,2,0,0,0,0,interbank,yes
2024-04-24,13748,4180,1,0,0,0,0,interbank,yes
2024-04-24,13747,2174,3,0,0,0,0,uah,yes
2024-04-24,13746,2174,2,0,0,0,0,uah,yes
2024-04-24,13745,2174,1,0,0,0,0,uah,yes
2024-04-24,13732,2959,2,59,69,1000,1200,interbank,no
2024-04-24,13731,2959,1,41,59,1200,1200,interbank,no
2024-04-24,13713,3400,3,0,0,0,0,interbank,yes
2024-04-24,13712,3400,2,0,0,0,0,interbank,yes
2024-04-24,13711,3400,1,0,0,0,0,interbank,yes
2024-04-24,13693,3999,2,0,0,0,0,interbank,yes
2024-04-24,13692,3999,1,0,0,0,0,interbank,yes
2024-04-24,13679,807,1,0,0,0,0,uah,yes
2024-04-24,13678,807,1,0,0,0,0,uah,yes
